date,vehicle_id,model,configuration,region,demo_type,customer_segment,converted,cycle_time_hrs,utilization_rate,revenue_generated,customer_satisfaction,mileage_driven
2026-02-28,FLT0362,Model 3,Plaid,Southeast,VIP Demo,Government,1,2.07,0.798,41364.67,3.7,35.6
2026-02-28,FLT0307,Model S,Plaid,Southeast,Test Drive,Dealer,0,0.77,0.558,0.0,3.7,36.1
2026-02-28,FLT0116,Model Y,Plaid,Southeast,Dealer Demo,Dealer,0,2.8,0.899,0.0,3.6,11.2
2026-02-28,FLT0213,Cybertruck,Plaid,Midwest,Corporate Demo,Dealer,0,2.16,0.76,0.0,3.8,46.0
2026-02-28,FLT0470,Cybertruck,Long Range,Southwest,Event Demo,Dealer,0,2.43,0.838,0.0,4.5,32.5
2026-02-28,FLT0198,Model Y,Long Range,East Coast,Corporate Demo,Corporate,1,1.25,0.927,49266.62,4.7,36.7
2026-02-28,FLT0431,Model 3,Performance,Southeast,Dealer Demo,Fleet,0,1.9,0.924,0.0,3.9,30.8
2026-02-28,FLT0276,Model S,Standard Range,East Coast,VIP Demo,Government,0,1.49,0.688,0.0,3.7,6.9
2026-02-28,FLT0131,Cybertruck,Plaid,East Coast,Test Drive,Fleet,0,2.14,0.849,0.0,4.7,17.2
2026-02-28,FLT0113,Cybertruck,Long Range,East Coast,VIP Demo,Fleet,1,2.04,0.785,58454.75,4.5,28.9
2026-02-28,FLT0460,Model Y,Performance,East Coast,Corporate Demo,Individual,1,1.33,0.739,47851.6,3.7,48.4
2026-02-28,FLT0177,Cybertruck,Performance,Midwest,Corporate Demo,Government,0,2.7,0.74,0.0,4.6,17.9
2026-02-28,FLT0403,Cybertruck,Plaid,West Coast,Event Demo,Individual,0,0.72,0.78,0.0,4.6,47.2
2026-02-28,FLT0431,Model 3,Performance,Southeast,Corporate Demo,Government,0,0.94,0.918,0.0,4.1,27.3
2026-02-28,FLT0060,Model 3,Standard Range,West Coast,Event Demo,Individual,1,1.92,0.593,41931.98,3.9,49.5
2026-02-28,FLT0381,Cybertruck,Standard Range,Southwest,VIP Demo,Dealer,0,2.85,0.89,0.0,3.8,10.1
2026-02-28,FLT0071,Model Y,Plaid,West Coast,Corporate Demo,Government,0,2.3,0.556,0.0,3.9,35.3
